cousrd_id,cousre_title,course_place,mood,activity
1,신촌에서 사우나 힐링데이트,"서대문구, 종로구","편안한, 힐링","쉼, 산책, 식사"
2,망원동 데이트 코스,마포구,"편안한, 활기찬","식사, 디저트"
3,"벚꽃에 속아 매화를 잊지말자, 창덕궁 데이트",종로구,"역사적, 로맨틱, 활기찬","산책, 술, 양식"
4,단순히 보는 컨텐츠에 지쳤나면? 내가 직접 만들어가는 이머시브 연극 데이트! ,종로구,"활기찬, 이국적, 트렌디","공연, 술, 양식, 일식, 전시"
5,을zl로 ziㄷrl로 느낄 수 있는 데이트 코스,중구,"이국적, 트렌디, 빈티지","중식, 산책, 디저트"
6,일년에 한번! 경복궁 야간개강 놓칠 수 업쒀,종로구,"전통적, 야외, 역사적, 고급스러운","산책, 술, 양식, 전시"
7,고종 할아버지 보고계시죠? 고종이 사랑한 덕수궁 데이트 ,중구,"힐링, 편안한, 전통적","쉼, 산책, 한식"
8,연인에게 따듯한 시선을 선물하고 싶다면? 어노니머스 프로젝트 전시 데이트,종로구,"힐링, 로맨틱, 활기찬","전시, 한식, 체험"
9,"LP,,,처음이세요,,? LP바 데이트",송파구,"이국적, 빈티지, 로맨틱","음악, 술, 체험"
10,연인 사진 200장 갖고 싶다면! 스노우 AI 아바타 제작하고 강남역 마라샹궈 먹으러가는 데이트,강남구,"로맨틱, 트렌디, 도시적","게임, 중식"
11,지금 이 날씨에 딱이야! 경의선 책거리 데이트,서대문구,"야외, 힐링, 활기찬, 조용한, 이국적인","산책, 한식, 식사"
12,취향이 뾰족한 연인을 위한 커스텀 향수 제작 데이트,광진구,"고급스러운, 편안한","체험, 일식, 술"
13,더 더워지기 전에 반포 한강으로 헤쳐모여!,서초구,"편안한, 활기찬, 캐쥬얼, 빈티지","피크닉, 한식, 술, 산책"
14,20년 개포동 외길 인생 산 사람이 추천해주는 개포동 데이트 코스,강남구,"캐쥬얼, 편안한, 야외, 힐링, 활기찬","산책, 술, 한식, 쉼"
16,일끝나고 만나자 3호선 매봉역에서~ 매봉역 데이트,강남구,"편안한, 아늑한, 조용한, 야외, 힐링, 활기찬","쉼, 산책"
17,서울숲에서 힐링 데이트,성동구,"활기찬, 힐링, 편안한","산책, 쉼"
18,안국 - 광화문 뮤지컬데이!,종로구,"활기찬, 캐쥬얼, 도시적","공연, 체험"
19,한강 저녁 데이트,용산구,"편안한, 아늑한, 야외, 힐링","산책, 피크닉, 쉼"
20,선유도공원 피크닉 데이트,영등포구,"야외, 힐링","산책, 피크닉"
21,강남 방탈출 코스,강남구,스포티,"체험, 방탈출"
22,창덕궁 데이트 코스,종로구,"야외, 조용한",산책
23,연극없는 혜화 데이트 코스,종로구,캐주얼,식사
24,가로수길 데이트 코스,강남구,"로멘틱, 고급스러움",식사
25,방이 시장 불금 데이트,송파구,활기찬,술
26,충무로 학교 데이트,중구,이국적,"식사, 술"
27,연남동 나들이,마포구,"이국적, 트렌디",식사
28,아쿠아리움 다녀오기,강남구,활기찬,체험
29,롯데월드 데이트,송파구,활기찬,체험
30,송리단길 나들이,송파구,"아늑한, 편안한","식사, 일식"
31,약수역 탐방,중구,아늑한,"식사, 술"
32,고기먹으러 마장,성동구,활기찬,"식사, 술"
33,곱창정복,성동구,활기찬,"식사, 술"
34,성수동 나들이,성둥구,"편안한, 나른한","식사, 체험"
